Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,label(ppm)
40,0.170741,0.170419,0.170419,0.170419,0.170097,0.170097,0.170419,0.170097,0.170419,0.170741,0.170419,0.170097,0.170097,0.170419,0.170097,0.169775,0.16913,0.170097,0.170741,0.16913,1.101944,2.292529,2.640844,2.752652,2.79164,2.802596,2.805818,2.795507,2.798085,2.796151,2.794862,2.795185,2.795829,2.796151,2.796151,2.79454,2.783907,2.785518,2.785196,2.784874,2.784552,2.785196,2.78584,2.784874,2.774563,2.776818,2.774885,2.775207,2.776496,2.775852,2.387582,1.093244,0.520989,0.313805,0.235829,0.202963,0.18943,0.181697,0.179119,0.176864,0.175897,0.17493,0.17493,0.173964,0.173319,0.173319,0.172997,0.172997,0.173319,0.173964,100
41,0.170741,0.170741,0.170741,0.171708,0.171064,0.170419,0.169775,0.170741,0.170741,0.170419,0.170097,0.171064,0.170097,0.170097,0.172353,0.170419,0.171386,0.170741,0.170741,0.170419,0.680164,2.153654,2.598633,2.739441,2.786807,2.801951,2.799696,2.799696,2.800985,2.801307,2.80034,2.80034,2.789707,2.791963,2.789385,2.790996,2.790351,2.790351,2.790674,2.785196,2.780363,2.781329,2.778752,2.780685,2.780041,2.780363,2.780363,2.779074,2.769407,2.772307,2.468458,1.137709,0.536456,0.319283,0.238084,0.205218,0.190397,0.182663,0.180086,0.177186,0.176541,0.175897,0.174608,0.17493,0.173964,0.174286,0.173964,0.173319,0.172675,0.173319,100
42,0.170419,0.170097,0.170741,0.170419,0.170741,0.171386,0.170419,0.170419,0.170741,0.170419,0.170741,0.170741,0.170419,0.169775,0.170741,0.170097,0.170419,0.170097,0.170419,0.171386,0.930203,2.240008,2.625055,2.747819,2.789063,2.793896,2.799696,2.799051,2.798085,2.798729,2.79744,2.797118,2.796474,2.796151,2.786485,2.78584,2.786485,2.784874,2.784874,2.783585,2.783585,2.782941,2.782618,2.781652,2.781974,2.771341,2.773919,2.772307,2.771019,2.77263,2.351817,1.072944,0.513256,0.310261,0.234218,0.202641,0.188141,0.181697,0.178475,0.176864,0.175897,0.175575,0.17493,0.173964,0.174286,0.174286,0.173641,0.173641,0.173641,0.172353,100
43,0.170741,0.170097,0.169775,0.170097,0.170741,0.170419,0.169453,0.170419,0.170097,0.169775,0.170097,0.171386,0.170419,0.170097,0.171708,0.171064,0.16913,0.170097,0.170097,0.170419,0.854804,2.215519,2.617644,2.744597,2.786807,2.793896,2.795185,2.797762,2.796151,2.796151,2.796474,2.795829,2.796151,2.795185,2.783585,2.784874,2.784552,2.783585,2.781652,2.783263,2.782941,2.781974,2.782296,2.781652,2.781007,2.76973,2.771985,2.771341,2.769407,2.768441,2.340217,1.068111,0.511001,0.309294,0.232607,0.201674,0.187819,0.181697,0.178475,0.177186,0.17493,0.175252,0.17493,0.173964,0.173641,0.173319,0.173319,0.172997,0.172997,0.172997,100
44,0.169453,0.170097,0.169453,0.170097,0.16913,0.16913,0.170097,0.170097,0.169775,0.169775,0.169775,0.170097,0.16913,0.169775,0.169775,0.169775,0.169453,0.170097,0.169453,0.170741,0.744929,2.174276,2.600567,2.738797,2.781974,2.798407,2.80324,2.79454,2.796796,2.79454,2.795507,2.795185,2.795507,2.794218,2.794862,2.785518,2.785518,2.786485,2.78584,2.787774,2.779718,2.780041,2.777785,2.779074,2.779396,2.779718,2.779396,2.76973,2.771663,2.76973,2.401438,1.100332,0.523245,0.316383,0.235184,0.203285,0.189752,0.181697,0.179119,0.176864,0.175252,0.174608,0.17493,0.174608,0.173964,0.174608,0.173641,0.173319,0.172997,0.172997,100
45,0.170741,0.170741,0.170741,0.169775,0.170741,0.170097,0.169775,0.170097,0.170419,0.170419,0.170419,0.170419,0.170419,0.170741,0.171064,0.170097,0.170419,0.171386,0.170419,0.170741,0.703685,2.166221,2.5967,2.734608,2.780041,2.794862,2.801951,2.80324,2.80324,2.802273,2.792285,2.793251,2.792285,2.792929,2.792607,2.792607,2.787129,2.785196,2.782618,2.784229,2.784874,2.784552,2.781007,2.776818,2.77553,2.776174,2.777463,2.778107,2.776818,2.771341,2.653088,1.240496,0.57641,0.333782,0.241951,0.20683,0.189752,0.182986,0.179119,0.176541,0.17493,0.175252,0.173964,0.173641,0.174286,0.174286,0.173319,0.172997,0.172675,0.171386,100
46,0.170097,0.169775,0.171064,0.169775,0.170097,0.169775,0.16913,0.169453,0.169453,0.170097,0.169453,0.170419,0.170419,0.169775,0.170097,0.170741,0.169775,0.169775,0.171064,0.170419,0.632476,2.140443,2.588967,2.731386,2.777785,2.795185,2.800985,2.802918,2.802918,2.793896,2.794218,2.79164,2.792607,2.793251,2.793896,2.784552,2.785196,2.784229,2.782941,2.783263,2.782618,2.784552,2.784229,2.774563,2.775207,2.773919,2.775207,2.77553,2.777141,2.776174,2.734286,1.287862,0.594132,0.340549,0.245818,0.207474,0.191041,0.182986,0.178797,0.177508,0.17493,0.174608,0.174286,0.172675,0.173964,0.173641,0.173319,0.173319,0.172997,0.172997,100
47,0.170097,0.170419,0.170741,0.169775,0.170097,0.170419,0.169775,0.171386,0.170419,0.171064,0.170419,0.170419,0.170097,0.170097,0.169775,0.170741,0.170097,0.170419,0.170741,0.170741,0.473624,2.077611,2.577689,2.724297,2.775852,2.792285,2.800018,2.801629,2.802273,2.791963,2.793896,2.791318,2.792929,2.792929,2.793574,2.786485,2.784874,2.785518,2.787129,2.784874,2.779718,2.776818,2.777463,2.779396,2.779396,2.76973,2.771663,2.770052,2.771663,2.773274,2.769085,1.409981,0.641498,0.356982,0.252584,0.209729,0.190719,0.183308,0.177508,0.176541,0.174286,0.173964,0.172675,0.172675,0.17203,0.172675,0.17203,0.172353,0.172353,0.17203,100
48,0.168486,0.170097,0.169775,0.168808,0.168808,0.168808,0.168808,0.16913,0.168808,0.169453,0.169775,0.170097,0.16913,0.16913,0.169775,0.169453,0.169453,0.170097,0.16913,0.16913,0.333138,2.010913,2.55449,2.722364,2.778107,2.790029,2.794862,2.799051,2.799696,2.799696,2.791963,2.790674,2.789707,2.791318,2.790351,2.790029,2.789707,2.789385,2.778752,2.780685,2.77843,2.779074,2.780041,2.780685,2.780041,2.76973,2.770374,2.770696,2.769407,2.770374,2.771019,1.456058,0.660186,0.363748,0.255162,0.211663,0.192974,0.18363,0.180086,0.177508,0.175252,0.174286,0.173319,0.173964,0.173319,0.173319,0.172997,0.172997,0.172997,0.172997,100
49,0.170097,0.170419,0.170419,0.169775,0.170097,0.171064,0.170419,0.170419,0.170741,0.170741,0.170741,0.170419,0.168808,0.170097,0.16913,0.170097,0.169775,0.169453,0.169453,0.170097,0.212952,1.947114,2.53709,2.716886,2.777141,2.787452,2.796796,2.797118,2.795829,2.796796,2.797118,2.797118,2.796151,2.78874,2.78874,2.786807,2.786807,2.787129,2.786807,2.786807,2.786807,2.777463,2.779718,2.776496,2.77843,2.780041,2.780685,2.771341,2.771341,2.770696,2.753941,1.299784,0.598321,0.341838,0.247106,0.208441,0.191363,0.183308,0.179119,0.176864,0.175897,0.174286,0.175575,0.173964,0.174286,0.173319,0.172997,0.172675,0.17203,0.172353,100
