epoch, 65, time used, 0, seconds, train loss, 37.236, validation rmse:, 41.644, test rmse:, 23.673
epoch, 66, time used, 0, seconds, train loss, 37.077, validation rmse:, 41.454, test rmse:, 23.378
epoch, 67, time used, 0, seconds, train loss, 36.945, validation rmse:, 41.263, test rmse:, 22.987
epoch, 68, time used, 0, seconds, train loss, 36.821, validation rmse:, 40.920, test rmse:, 22.717
epoch, 69, time used, 0, seconds, train loss, 36.629, validation rmse:, 40.785, test rmse:, 22.483
epoch, 70, time used, 0, seconds, train loss, 36.503, validation rmse:, 40.570, test rmse:, 22.220
epoch, 71, time used, 0, seconds, train loss, 36.417, validation rmse:, 40.332, test rmse:, 21.902
epoch, 72, time used, 0, seconds, train loss, 36.279, validation rmse:, 40.263, test rmse:, 21.680
epoch, 73, time used, 0, seconds, train loss, 36.212, validation rmse:, 40.004, test rmse:, 21.456
epoch, 74, time used, 0, seconds, train loss, 36.076, validation rmse:, 39.922, test rmse:, 21.222
epoch, 75, time used, 0, seconds, train loss, 35.952, validation rmse:, 39.756, test rmse:, 20.907
epoch, 76, time used, 0, seconds, train loss, 35.867, validation rmse:, 39.521, test rmse:, 20.690
epoch, 77, time used, 0, seconds, train loss, 35.817, validation rmse:, 39.329, test rmse:, 20.357
epoch, 78, time used, 0, seconds, train loss, 35.711, validation rmse:, 39.205, test rmse:, 20.147
epoch, 79, time used, 0, seconds, train loss, 35.614, validation rmse:, 39.074, test rmse:, 19.855
epoch, 80, time used, 0, seconds, train loss, 35.452, validation rmse:, 38.790, test rmse:, 19.595
epoch, 81, time used, 0, seconds, train loss, 35.336, validation rmse:, 38.591, test rmse:, 19.373
epoch, 82, time used, 0, seconds, train loss, 35.204, validation rmse:, 38.548, test rmse:, 19.139
epoch, 83, time used, 0, seconds, train loss, 35.098, validation rmse:, 38.286, test rmse:, 18.825
epoch, 84, time used, 0, seconds, train loss, 35.055, validation rmse:, 38.062, test rmse:, 18.589
epoch, 85, time used, 0, seconds, train loss, 34.917, validation rmse:, 37.928, test rmse:, 18.316
epoch, 86, time used, 0, seconds, train loss, 34.788, validation rmse:, 37.742, test rmse:, 18.097
epoch, 87, time used, 0, seconds, train loss, 34.683, validation rmse:, 37.595, test rmse:, 17.768
epoch, 88, time used, 0, seconds, train loss, 34.503, validation rmse:, 37.522, test rmse:, 17.576
epoch, 89, time used, 0, seconds, train loss, 34.461, validation rmse:, 37.253, test rmse:, 17.146
epoch, 90, time used, 0, seconds, train loss, 34.360, validation rmse:, 37.091, test rmse:, 17.039
