epoch, 65, time used, 0, seconds, train loss, 35.171, validation rmse:, 40.515, test rmse:, 9.230
epoch, 66, time used, 0, seconds, train loss, 35.063, validation rmse:, 40.278, test rmse:, 8.804
epoch, 67, time used, 0, seconds, train loss, 34.873, validation rmse:, 40.026, test rmse:, 8.508
epoch, 68, time used, 0, seconds, train loss, 34.746, validation rmse:, 39.862, test rmse:, 8.094
epoch, 69, time used, 0, seconds, train loss, 34.597, validation rmse:, 39.588, test rmse:, 7.808
epoch, 70, time used, 0, seconds, train loss, 34.430, validation rmse:, 39.346, test rmse:, 7.453
epoch, 71, time used, 0, seconds, train loss, 34.308, validation rmse:, 39.140, test rmse:, 7.110
epoch, 72, time used, 0, seconds, train loss, 34.201, validation rmse:, 38.945, test rmse:, 6.765
epoch, 73, time used, 0, seconds, train loss, 34.008, validation rmse:, 38.636, test rmse:, 6.289
epoch, 74, time used, 0, seconds, train loss, 33.893, validation rmse:, 38.409, test rmse:, 6.096
epoch, 75, time used, 0, seconds, train loss, 33.671, validation rmse:, 38.185, test rmse:, 5.517
epoch, 76, time used, 0, seconds, train loss, 33.559, validation rmse:, 37.863, test rmse:, 5.369
epoch, 77, time used, 0, seconds, train loss, 33.342, validation rmse:, 37.817, test rmse:, 4.903
epoch, 78, time used, 0, seconds, train loss, 33.200, validation rmse:, 37.458, test rmse:, 4.673
epoch, 79, time used, 0, seconds, train loss, 33.031, validation rmse:, 37.195, test rmse:, 4.161
epoch, 80, time used, 0, seconds, train loss, 32.896, validation rmse:, 37.013, test rmse:, 3.885
epoch, 81, time used, 0, seconds, train loss, 32.715, validation rmse:, 36.791, test rmse:, 3.508
epoch, 82, time used, 0, seconds, train loss, 32.537, validation rmse:, 36.546, test rmse:, 3.165
epoch, 83, time used, 0, seconds, train loss, 32.380, validation rmse:, 36.255, test rmse:, 2.885
epoch, 84, time used, 0, seconds, train loss, 32.189, validation rmse:, 35.840, test rmse:, 2.647
epoch, 85, time used, 0, seconds, train loss, 32.039, validation rmse:, 35.898, test rmse:, 2.242
epoch, 86, time used, 0, seconds, train loss, 31.920, validation rmse:, 35.662, test rmse:, 1.890
epoch, 87, time used, 0, seconds, train loss, 31.811, validation rmse:, 35.494, test rmse:, 1.897
epoch, 88, time used, 0, seconds, train loss, 31.569, validation rmse:, 35.147, test rmse:, 1.756
epoch, 89, time used, 0, seconds, train loss, 31.482, validation rmse:, 34.970, test rmse:, 1.643
epoch, 90, time used, 0, seconds, train loss, 31.261, validation rmse:, 34.628, test rmse:, 1.896
epoch, 91, time used, 0, seconds, train loss, 31.124, validation rmse:, 34.384, test rmse:, 1.914
epoch, 92, time used, 0, seconds, train loss, 30.922, validation rmse:, 34.184, test rmse:, 2.197
epoch, 93, time used, 0, seconds, train loss, 30.859, validation rmse:, 34.070, test rmse:, 2.471
epoch, 94, time used, 0, seconds, train loss, 30.516, validation rmse:, 33.840, test rmse:, 2.437
epoch, 95, time used, 0, seconds, train loss, 30.431, validation rmse:, 33.631, test rmse:, 3.107
epoch, 96, time used, 0, seconds, train loss, 30.141, validation rmse:, 33.363, test rmse:, 3.663
epoch, 97, time used, 0, seconds, train loss, 30.001, validation rmse:, 33.375, test rmse:, 4.148
epoch, 98, time used, 0, seconds, train loss, 29.876, validation rmse:, 33.056, test rmse:, 4.502
epoch, 99, time used, 0, seconds, train loss, 29.633, validation rmse:, 33.038, test rmse:, 4.674
epoch, 100, time used, 0, seconds, train loss, 29.434, validation rmse:, 32.600, test rmse:, 4.788
epoch, 101, time used, 0, seconds, train loss, 29.288, validation rmse:, 32.646, test rmse:, 5.441
epoch, 102, time used, 0, seconds, train loss, 29.094, validation rmse:, 32.437, test rmse:, 5.445
epoch, 103, time used, 0, seconds, train loss, 28.936, validation rmse:, 32.039, test rmse:, 6.212
epoch, 104, time used, 0, seconds, train loss, 28.780, validation rmse:, 32.017, test rmse:, 6.761
epoch, 105, time used, 0, seconds, train loss, 28.614, validation rmse:, 31.862, test rmse:, 6.892
epoch, 106, time used, 0, seconds, train loss, 28.516, validation rmse:, 31.772, test rmse:, 7.216
epoch, 107, time used, 0, seconds, train loss, 28.395, validation rmse:, 31.633, test rmse:, 7.855
epoch, 108, time used, 0, seconds, train loss, 28.307, validation rmse:, 31.461, test rmse:, 8.148
epoch, 109, time used, 0, seconds, train loss, 28.055, validation rmse:, 31.350, test rmse:, 8.437
epoch, 110, time used, 0, seconds, train loss, 27.868, validation rmse:, 31.114, test rmse:, 9.085
