,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,label(ppm)
30,0.085677,0.085999,0.085032,0.085999,0.085354,0.085677,0.085032,0.08471,0.085677,0.085354,0.085677,0.086643,0.085354,0.085354,0.085032,0.086321,0.085032,0.085354,0.085677,0.085677,0.085032,1.101621,1.926815,2.20972,2.312506,2.34795,2.355683,2.361805,2.355039,2.356972,2.359227,2.353105,2.352461,2.354716,2.346339,2.348272,2.344728,2.341506,2.344083,2.336672,2.337639,2.339895,2.335061,2.335061,2.336995,2.328617,2.331195,2.325073,2.32765,2.328617,2.322495,1.41127,0.536456,0.246784,0.152375,0.115965,0.100498,0.094054,0.090188,0.088899,0.087932,0.087932,0.087932,0.086643,0.086965,0.086643,0.08761,0.086321,0.086321,0.086643,30
31,0.086321,0.085677,0.086643,0.085677,0.085999,0.086965,0.085999,0.087288,0.086321,0.086321,0.086643,0.085999,0.086321,0.086643,0.086321,0.086643,0.087288,0.086643,0.085677,0.085999,0.086643,0.788428,1.810817,2.17202,2.302195,2.349561,2.359872,2.364061,2.368894,2.361483,2.363094,2.356972,2.358583,2.35955,2.353105,2.354072,2.355683,2.346983,2.349239,2.344083,2.343117,2.345694,2.339895,2.340539,2.342472,2.335384,2.33635,2.338283,2.330873,2.331517,2.325073,1.490535,0.567066,0.257095,0.157531,0.117898,0.103398,0.095343,0.090832,0.089865,0.087932,0.08761,0.088254,0.088577,0.087932,0.088577,0.086965,0.08761,0.087932,0.086965,30
32,0.085999,0.08761,0.089221,0.086965,0.086965,0.08761,0.086643,0.086643,0.086321,0.087288,0.086965,0.087288,0.086643,0.087288,0.087932,0.086965,0.086643,0.08761,0.086643,0.086643,0.735263,1.79084,2.173309,2.307351,2.348594,2.367283,2.373727,2.369538,2.368249,2.369861,2.364061,2.360839,2.36245,2.363094,2.355361,2.355361,2.356972,2.350205,2.349239,2.351494,2.351817,2.34505,2.346017,2.346661,2.340861,2.339895,2.341183,2.336995,2.334095,2.336672,1.679675,0.637954,0.280617,0.164619,0.121765,0.104043,0.096954,0.091799,0.091154,0.089543,0.089543,0.089221,0.08761,0.088577,0.088577,0.088254,0.088899,0.088254,0.087932,0.08761,30
33,0.089221,0.08761,0.087932,0.08761,0.086965,0.087932,0.088899,0.086965,0.086643,0.08761,0.088254,0.087288,0.08761,0.08761,0.087288,0.087288,0.087932,0.087932,0.085999,0.086965,0.088254,0.791006,1.815006,2.184265,2.31444,2.356328,2.372438,2.378883,2.374049,2.375338,2.375983,2.368572,2.368572,2.369538,2.363416,2.363416,2.365027,2.357294,2.357294,2.359227,2.352461,2.352783,2.355039,2.349239,2.349883,2.351172,2.343439,2.343761,2.346661,2.339895,2.339895,1.712541,0.654064,0.287061,0.16623,0.12402,0.105654,0.097921,0.095021,0.092121,0.090832,0.089543,0.09051,0.089221,0.090188,0.090188,0.088577,0.089543,0.088899,0.088577,30
34,0.088254,0.088254,0.087932,0.086643,0.091154,0.086643,0.089543,0.088254,0.088899,0.089543,0.089221,0.088577,0.088899,0.08761,0.089221,0.088899,0.089865,0.087932,0.088577,0.088899,0.442047,1.66582,2.139477,2.297684,2.357294,2.378883,2.379205,2.380816,2.383394,2.376949,2.375338,2.37566,2.376627,2.368894,2.371794,2.369538,2.364383,2.364383,2.365672,2.358583,2.358583,2.360194,2.355039,2.355683,2.356972,2.349883,2.351817,2.345372,2.346661,2.349561,1.803728,0.690475,0.299305,0.172675,0.126276,0.107587,0.098565,0.094699,0.09341,0.092121,0.091799,0.090832,0.089543,0.091799,0.085999,0.092765,0.088577,0.09051,0.088577,0.089543,30
35,0.090188,0.088254,0.089221,0.088899,0.089865,0.088899,0.092443,0.089865,0.089543,0.089221,0.088899,0.09051,0.088899,0.087932,0.088577,0.089221,0.089865,0.089221,0.088254,0.088899,0.558689,1.724141,2.160421,2.314117,2.360839,2.382427,2.382427,2.385327,2.387582,2.381138,2.38146,2.382427,2.37566,2.376305,2.376949,2.369216,2.371794,2.366316,2.366316,2.368894,2.361483,2.362127,2.364383,2.356328,2.358583,2.352461,2.353428,2.354072,2.34795,2.348272,1.826283,0.699497,0.302527,0.173641,0.126598,0.108232,0.098565,0.095665,0.092765,0.092765,0.091154,0.090832,0.090832,0.091799,0.090188,0.090832,0.088577,0.089865,0.089865,0.090188,30
36,0.090832,0.088577,0.088899,0.089865,0.088899,0.089865,0.089543,0.088899,0.088899,0.089865,0.089543,0.090188,0.089543,0.089865,0.089543,0.089865,0.088899,0.089543,0.089221,0.088577,0.681453,1.785362,2.178787,2.319917,2.372116,2.389193,2.389193,2.391449,2.393382,2.38436,2.384038,2.385327,2.385971,2.379849,2.378883,2.379205,2.371794,2.371794,2.373727,2.369861,2.367283,2.368249,2.369861,2.363416,2.363738,2.36535,2.358905,2.358905,2.360516,2.354072,1.750241,0.673075,0.295117,0.172675,0.126276,0.108232,0.09921,0.095987,0.094699,0.093088,0.091476,0.092443,0.09051,0.092121,0.090832,0.091476,0.090832,0.091154,0.092443,0.089221,30
37,0.090188,0.090188,0.090188,0.090832,0.089543,0.090188,0.089865,0.09051,0.090188,0.090832,0.088577,0.094699,0.087932,0.091154,0.089865,0.09051,0.090188,0.089543,0.089543,0.090188,0.608632,1.756363,2.175243,2.325395,2.378238,2.391127,2.396927,2.400149,2.392093,2.392416,2.393382,2.394349,2.387905,2.386616,2.386294,2.386616,2.380171,2.380171,2.38146,2.375016,2.375338,2.373405,2.370827,2.367927,2.371472,2.363416,2.365672,2.366961,2.366961,2.360194,1.935192,0.748151,0.320894,0.18073,0.131109,0.109521,0.100821,0.096632,0.095665,0.09341,0.093088,0.092765,0.094376,0.092765,0.092765,0.092765,0.091799,0.091154,0.091476,0.091799,30
38,0.091799,0.09051,0.091799,0.092443,0.091154,0.090832,0.091476,0.091476,0.090832,0.090832,0.091154,0.091476,0.09051,0.091799,0.092121,0.09051,0.092121,0.091154,0.09051,0.091154,0.297694,1.599122,2.130132,2.308317,2.375016,2.399182,2.401115,2.40466,2.39886,2.398216,2.401438,2.393704,2.393704,2.394993,2.389838,2.389193,2.39016,2.385005,2.384682,2.386616,2.379527,2.381138,2.373405,2.37566,2.37856,2.370827,2.372761,2.366638,2.368249,2.370183,2.191031,0.860927,0.357304,0.193941,0.136587,0.112743,0.103076,0.097276,0.095343,0.095021,0.094054,0.093088,0.092765,0.093732,0.093732,0.092443,0.093732,0.091799,0.092121,0.091476,30
39,0.091476,0.091799,0.092765,0.091476,0.090832,0.091476,0.092765,0.092765,0.093088,0.091154,0.091476,0.091154,0.091799,0.091799,0.092121,0.092121,0.093732,0.092443,0.09341,0.092121,0.275139,1.586877,2.130777,2.311862,2.37856,2.40466,2.404982,2.41046,2.405304,2.40466,2.406271,2.399504,2.398538,2.39886,2.394027,2.393382,2.394671,2.388549,2.389193,2.390482,2.382749,2.384682,2.377594,2.379527,2.382105,2.375338,2.375983,2.378883,2.370827,2.373405,2.303484,0.906037,0.373093,0.200707,0.139487,0.114998,0.103398,0.099854,0.096632,0.094699,0.093732,0.093088,0.094054,0.09341,0.093088,0.09341,0.092765,0.093088,0.092121,0.093088,30
