,time(s) , sensor1(vol) , sensor2(vol) , sensor3(vol) ,  sensor4(vol) , pulse , DC1(vol) , DC2(vol) ,humidity
0,9.49,0.054422,0.042822,0.037667,0.056355,0.481035,1.413203,0.113709,0.303494
1,9.5,0.055066,0.040889,0.037667,0.056999,0.481035,1.415137,0.113065,0.304461
2,9.51,0.055066,0.040566,0.038633,0.057644,0.480713,1.416748,0.111776,0.303816
3,9.52,0.053455,0.0425,0.037344,0.055711,0.480713,1.413203,0.113387,0.303172
4,9.53,0.0541,0.041533,0.037344,0.057322,0.479746,1.415459,0.113065,0.304461
5,9.54,0.054422,0.041211,0.039278,0.058611,0.479746,1.41707,0.113065,0.303172
6,9.55,0.054422,0.041533,0.037667,0.056677,0.478457,1.413526,0.111454,0.302527
7,9.56,0.053133,0.041533,0.038311,0.058933,0.479746,1.415459,0.115643,0.304461
8,9.57,0.054744,0.041533,0.037989,0.06151,0.48039,1.416426,0.110165,0.304139
9,9.58,0.054744,0.042178,0.037022,0.057966,0.478457,1.413526,0.114676,0.303172
10,9.59,0.053455,0.042178,0.037344,0.056033,0.48039,1.414815,0.11532,0.303494
11,9.6,0.0541,0.041211,0.036055,0.056355,0.481035,1.413848,0.114354,0.30285
12,9.61,0.053133,0.041533,0.037667,0.055711,0.480713,1.413526,0.113709,0.303172
13,9.62,0.053133,0.041211,0.037989,0.055711,0.481357,1.416426,0.114676,0.303172
14,9.63,0.055066,0.041533,0.037022,0.056999,0.482001,1.412559,0.113387,0.30285
15,9.64,0.054744,0.041533,0.037667,0.057644,0.482646,1.41417,0.114354,0.301239
16,9.65,0.055711,0.041533,0.037344,0.056033,0.481035,1.415781,0.114354,0.303172
17,9.66,0.053777,0.041211,0.037022,0.056355,0.480713,1.412881,0.114032,0.30285
18,9.67,0.0541,0.040889,0.037667,0.057322,0.482646,1.413848,0.113387,0.300916
19,9.68,0.0541,0.041211,0.038311,0.056355,0.482001,1.415459,0.114676,0.301883
20,9.69,0.054744,0.072144,0.143031,0.330238,2.957259,1.412559,0.11532,0.303494
21,9.7,1.030412,0.981757,1.149954,1.394515,2.972403,1.415781,0.114676,0.303172
22,9.71,1.675809,1.503424,1.66872,1.891049,2.976592,1.413203,0.114998,0.303494
23,9.72,1.911348,1.687409,1.855927,2.082122,2.976592,1.415137,0.113709,0.304461
24,9.73,1.999635,1.758296,1.916504,2.15301,2.978525,1.412237,0.113709,0.302527
25,9.74,2.02799,1.775051,1.939703,2.182654,2.977881,1.415137,0.114998,0.304461
26,9.75,2.039268,1.786329,1.942925,2.186198,2.977881,1.411915,0.114676,0.303172
27,9.76,2.045068,1.784073,1.946792,2.192642,2.978847,1.415137,0.114032,0.304461
28,9.77,2.040879,1.787618,1.942603,2.188776,2.978525,1.416426,0.113065,0.303494
29,9.78,2.043457,1.783751,1.94357,2.19232,2.980136,1.41417,0.114676,0.301883
30,9.79,2.038301,1.784395,1.94067,2.185231,2.978847,1.417392,0.114354,0.30285
31,9.8,2.039912,1.780851,1.939703,2.188776,2.978847,1.414815,0.113709,0.300594
32,9.81,2.035079,1.781818,1.942281,2.182976,2.978203,1.416748,0.11242,0.303172
33,9.82,2.037334,1.778273,1.935837,2.184587,2.974981,1.413203,0.114998,0.303172
34,9.83,2.031212,1.77924,1.938092,2.179754,2.977559,1.416748,0.114354,0.303172
35,9.84,2.033468,1.775051,1.933259,2.182331,2.974659,1.413526,0.114676,0.303494
36,9.85,2.02799,1.777307,1.934548,2.176854,2.97917,1.416103,0.114032,0.303172
37,9.86,2.03089,1.771829,1.930359,2.18072,2.975947,1.41417,0.114354,0.30285
38,9.87,2.025735,1.77344,1.931648,2.176209,2.978847,1.417392,0.115965,0.302527
39,9.88,2.028635,1.77054,1.925848,2.179431,2.978525,1.413526,0.112743,0.30285
40,9.89,2.022513,1.771185,1.929392,2.171376,2.977559,1.416426,0.115965,0.303172
41,9.9,2.024446,1.769896,1.923915,2.173631,2.977559,1.413203,0.113709,0.303816
42,9.91,2.021868,1.769896,1.926492,2.168476,2.978203,1.416103,0.114998,0.301883
43,9.92,2.021224,1.771185,1.920692,2.172665,2.977881,1.41417,0.114032,0.303172
44,9.93,2.017357,1.766351,1.922304,2.166865,2.978203,1.416103,0.113709,0.303172
45,9.94,2.018646,1.768285,1.918437,2.167509,2.977881,1.41417,0.114676,0.303494
46,9.95,2.014457,1.763774,1.920048,2.168154,2.978203,1.415781,0.113709,0.305105
47,9.96,2.015746,1.766351,1.915215,2.164287,2.97917,1.412559,0.114676,0.303172
48,9.97,2.01929,1.762807,1.916504,2.166543,2.979814,1.415137,0.114354,0.301561
