,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,label(ppm)
30,0.027678,0.026067,0.0251,0.027033,0.028322,0.026389,0.026389,0.027356,0.026389,0.026389,0.025745,0.028322,0.026711,0.027033,0.027356,0.026389,0.026711,0.026389,0.024456,0.026067,0.027033,0.690797,1.326528,1.575922,1.659376,1.685475,1.698042,1.695786,1.700297,1.695142,1.691597,1.693209,1.688698,1.691597,1.686442,1.684509,1.684509,1.679998,1.680964,1.677742,1.679353,1.676131,1.677742,1.673876,1.670331,1.67162,1.668076,1.67162,1.666142,1.663243,1.664531,0.621198,0.171708,0.072788,0.043144,0.035733,0.029933,0.027678,0.026711,0.029611,0.023811,0.028,0.026067,0.027356,0.027356,0.027356,0.028322,0.026389,0.025745,0.026711,20
31,0.026711,0.027356,0.026711,0.027678,0.026389,0.027356,0.0251,0.027033,0.026067,0.026711,0.026067,0.027033,0.025745,0.026067,0.026389,0.026067,0.028,0.026389,0.026711,0.025422,0.026067,0.652775,1.310095,1.564967,1.658731,1.685475,1.698042,1.696431,1.699331,1.694175,1.696431,1.691275,1.689664,1.689342,1.685153,1.686764,1.681609,1.683542,1.679998,1.681609,1.677098,1.677742,1.673876,1.675487,1.672265,1.673553,1.668398,1.670009,1.666142,1.664854,1.663243,0.573833,0.162686,0.068921,0.0425,0.033478,0.030578,0.028644,0.027033,0.027356,0.026711,0.025745,0.026389,0.027356,0.026389,0.028322,0.027033,0.026389,0.026711,0.026067,20
32,0.025745,0.027356,0.028644,0.025745,0.025422,0.028,0.024133,0.027033,0.026389,0.027033,0.0251,0.026389,0.026389,0.025745,0.027678,0.026067,0.026711,0.027356,0.025745,0.026067,0.026067,0.669531,1.316539,1.571733,1.65712,1.684831,1.696753,1.696108,1.698364,1.693853,1.695786,1.691275,1.687409,1.688698,1.684831,1.684831,1.684186,1.682575,1.679998,1.676453,1.677098,1.672909,1.675809,1.67162,1.673553,1.670331,1.669365,1.667754,1.664854,1.664209,1.661954,0.639887,0.177186,0.072788,0.043789,0.033478,0.029933,0.028644,0.028322,0.027033,0.026389,0.026067,0.026067,0.027033,0.028644,0.024778,0.029289,0.025745,0.025745,0.0251,20
33,0.026389,0.027356,0.026711,0.026389,0.026067,0.027678,0.028,0.027356,0.025422,0.026389,0.026389,0.026067,0.026389,0.026711,0.026067,0.027033,0.026389,0.028,0.026067,0.025745,0.026711,0.707874,1.334583,1.573344,1.66002,1.685475,1.69772,1.696753,1.695786,1.69482,1.690309,1.693209,1.687086,1.689664,1.684186,1.684509,1.68322,1.678709,1.679675,1.676776,1.678387,1.67452,1.671298,1.673231,1.66872,1.671298,1.667431,1.669042,1.664854,1.662598,1.663243,0.548055,0.156564,0.068277,0.0425,0.0338,0.029289,0.028322,0.028,0.028322,0.026067,0.026711,0.027033,0.026067,0.026711,0.026711,0.026711,0.026389,0.025422,0.026389,20
34,0.026067,0.027033,0.026067,0.026389,0.026711,0.025422,0.026389,0.026389,0.026067,0.027033,0.026067,0.026067,0.026711,0.026389,0.027033,0.026067,0.027033,0.025745,0.026067,0.026711,0.026389,0.703041,1.330716,1.576244,1.658087,1.685475,1.695786,1.69482,1.697075,1.693531,1.690309,1.692242,1.686442,1.688698,1.685475,1.681609,1.68322,1.677742,1.681287,1.678064,1.673876,1.67742,1.672265,1.670009,1.671298,1.667109,1.669042,1.666142,1.662598,1.665176,1.662276,0.575766,0.162686,0.068921,0.042822,0.033156,0.029289,0.028967,0.027356,0.027678,0.026389,0.028,0.026711,0.026711,0.025745,0.026389,0.026711,0.025745,0.026389,0.025745,20
35,0.028,0.026067,0.027356,0.026711,0.025745,0.026711,0.026711,0.026389,0.026389,0.026711,0.025422,0.026389,0.025745,0.026389,0.025422,0.024778,0.026067,0.0251,0.026389,0.024778,0.026389,0.606054,1.290117,1.557234,1.651965,1.685475,1.692564,1.697397,1.694497,1.69192,1.692564,1.688053,1.689664,1.684509,1.685475,1.683542,1.680642,1.681609,1.67742,1.679998,1.675487,1.671942,1.673553,1.669687,1.67162,1.667431,1.667431,1.664854,1.666142,1.662598,1.664531,0.670175,0.183952,0.074399,0.044755,0.035411,0.029933,0.028644,0.027033,0.028,0.027356,0.026711,0.026711,0.026711,0.027033,0.027033,0.026711,0.026711,0.026067,0.025745,20
36,0.026389,0.026389,0.0251,0.026067,0.026389,0.025745,0.027033,0.026711,0.025745,0.026711,0.026067,0.025745,0.026711,0.024778,0.026389,0.024778,0.026711,0.026067,0.025422,0.028322,0.480068,1.225352,1.536612,1.642621,1.68322,1.69192,1.698042,1.69482,1.69192,1.692886,1.688375,1.689664,1.684831,1.687409,1.682898,1.679675,1.680642,1.676453,1.679031,1.674198,1.676776,1.672587,1.669687,1.670009,1.666787,1.669365,1.664531,1.667109,1.663243,1.658731,0.812916,0.215207,0.08181,0.047333,0.034444,0.030256,0.029289,0.027356,0.028,0.026711,0.027033,0.026389,0.027356,0.026067,0.026067,0.026711,0.027033,0.026711,0.025745,0.026067,20
37,0.027033,0.026067,0.026711,0.026067,0.026389,0.026711,0.025745,0.027356,0.026711,0.027033,0.026389,0.026067,0.0251,0.026711,0.026711,0.026389,0.025745,0.024778,0.026389,0.026711,0.432058,1.202475,1.525334,1.640043,1.680642,1.689986,1.696108,1.692886,1.693209,1.689342,1.690953,1.68612,1.686442,1.682575,1.684509,1.679675,1.682575,1.676453,1.677098,1.674198,1.675809,1.670653,1.672909,1.669042,1.668076,1.667109,1.664209,1.666465,1.661631,1.663565,0.872848,0.230996,0.083743,0.047011,0.035411,0.031222,0.028644,0.028967,0.026067,0.026067,0.027033,0.027356,0.025422,0.026389,0.0251,0.026711,0.026711,0.027033,0.025422,0.026067,20
38,0.027033,0.027356,0.027033,0.026067,0.026711,0.026067,0.026711,0.026389,0.027033,0.025422,0.026711,0.025745,0.026389,0.026067,0.026067,0.027678,0.026389,0.026067,0.026711,0.026389,0.425614,1.198286,1.525979,1.63811,1.681609,1.689986,1.697075,1.694497,1.69192,1.691275,1.688375,1.68902,1.685153,1.682253,1.68322,1.679353,1.681609,1.675809,1.679031,1.673231,1.675809,1.672265,1.668076,1.669365,1.666465,1.667754,1.663243,1.665498,1.661954,1.663887,0.773606,0.205218,0.080199,0.046689,0.033156,0.031222,0.027033,0.027678,0.027033,0.026067,0.026711,0.027678,0.027033,0.026389,0.026067,0.026389,0.026067,0.026389,0.028322,0.027678,20
39,0.0251,0.026389,0.028,0.026067,0.026067,0.026067,0.026389,0.025745,0.0251,0.026389,0.026067,0.027678,0.026389,0.026389,0.026389,0.026389,0.024778,0.026067,0.025422,0.026711,0.437213,1.204086,1.528557,1.640687,1.682898,1.690953,1.69772,1.693853,1.695464,1.690309,1.691275,1.686764,1.688053,1.683542,1.683864,1.681609,1.677098,1.678064,1.673876,1.676453,1.671942,1.673876,1.66872,1.670653,1.666465,1.668398,1.663887,1.666142,1.661954,1.659054,0.716896,0.194263,0.077621,0.045077,0.035411,0.029933,0.027356,0.026389,0.028,0.026711,0.026711,0.026067,0.026389,0.026067,0.026389,0.025422,0.025745,0.026711,0.026067,0.027033,20
