,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,label(ppm)
30,0.112098,0.111454,0.112743,0.112743,0.11242,0.113709,0.111454,0.112098,0.11242,0.114354,0.11242,0.113387,0.113065,0.113387,0.113709,0.11242,0.113387,0.113709,0.113065,0.112743,0.121765,1.584622,2.269329,2.501324,2.589289,2.615711,2.629566,2.634722,2.628922,2.631499,2.624088,2.624088,2.617,2.618933,2.6199,2.6112,2.6141,2.607011,2.6083,2.610233,2.601856,2.604755,2.596378,2.597345,2.599278,2.5938,2.593156,2.587678,2.587678,2.591867,2.5822,1.255962,0.545156,0.284161,0.185563,0.147864,0.130787,0.123054,0.118543,0.11532,0.113709,0.114354,0.111132,0.112098,0.110809,0.112098,0.111454,0.11242,0.111454,0.109521,10
31,0.111776,0.111454,0.110487,0.110809,0.110165,0.110487,0.111132,0.112098,0.108876,0.110165,0.110809,0.110809,0.110487,0.110487,0.110809,0.110165,0.111454,0.111132,0.111454,0.109843,1.391615,2.191998,2.463303,2.565445,2.604433,2.610878,2.616355,2.619255,2.6112,2.6112,2.612489,2.603789,2.6054,2.603467,2.600244,2.601533,2.594445,2.598633,2.597345,2.589611,2.589934,2.583812,2.583812,2.586389,2.579623,2.581556,2.572856,2.575112,2.577367,2.570278,1.259507,0.5429,0.281261,0.182986,0.144964,0.12692,0.120154,0.114998,0.11242,0.111776,0.110809,0.110809,0.110165,0.111132,0.108876,0.110165,0.109198,0.110809,0.114676,0.108876,10
32,0.109198,0.106943,0.108876,0.108232,0.108232,0.106943,0.108554,0.106621,0.108876,0.108876,0.108232,0.109521,0.110165,0.108876,0.108876,0.108876,0.110809,0.109198,0.107587,0.111132,0.108554,1.46798,2.204886,2.466203,2.553845,2.590256,2.6054,2.603144,2.606044,2.599278,2.600244,2.594445,2.594122,2.593478,2.589289,2.591222,2.583489,2.585423,2.577045,2.578656,2.584456,2.569956,2.576078,2.568345,2.56899,2.571245,2.564479,2.564801,2.567379,2.559323,2.562223,1.264984,0.539678,0.277395,0.182341,0.141742,0.124665,0.116287,0.111132,0.111132,0.107909,0.109521,0.108554,0.109198,0.109198,0.107587,0.108554,0.107587,0.108232,0.108232,10
33,0.107909,0.105654,0.108876,0.105976,0.108554,0.107265,0.105332,0.105976,0.106943,0.106298,0.105976,0.106621,0.107587,0.104043,0.107587,0.10211,0.108876,0.107265,0.109521,0.106621,0.107587,1.432536,2.184265,2.452025,2.540635,2.579623,2.584778,2.591545,2.586067,2.587356,2.589611,2.581556,2.582845,2.576078,2.577689,2.578978,2.571567,2.574789,2.566734,2.567056,2.561579,2.563834,2.565445,2.55449,2.563512,2.54869,2.554168,2.553201,2.549979,2.54869,2.545468,1.338772,0.567711,0.284806,0.18363,0.143353,0.124342,0.11532,0.109521,0.106621,0.108876,0.107265,0.105332,0.107265,0.105976,0.106943,0.104687,0.10501,0.105654,0.107909,10
34,0.104687,0.104687,0.104687,0.103398,0.104365,0.104687,0.103398,0.104687,0.104043,0.103076,0.104687,0.104365,0.103398,0.104687,0.103721,0.104365,0.101787,0.106621,0.101465,0.104687,0.107265,1.384204,2.162676,2.430115,2.532901,2.562223,2.578656,2.577367,2.580912,2.572212,2.575756,2.568023,2.570923,2.564479,2.567379,2.559968,2.560612,2.556101,2.556423,2.558034,2.549979,2.552879,2.547079,2.549979,2.541924,2.543857,2.545468,2.534835,2.541279,2.531613,2.53709,1.422548,0.59671,0.293828,0.185241,0.141742,0.123698,0.114032,0.109843,0.106298,0.10501,0.105654,0.104687,0.103398,0.105332,0.103076,0.103398,0.104365,0.103721,0.105654,10
35,0.102754,0.10211,0.104687,0.103076,0.101465,0.104043,0.10211,0.102432,0.103721,0.102432,0.10211,0.10501,0.102432,0.10211,0.10211,0.10211,0.102432,0.099854,0.103721,0.103076,1.241463,2.103066,2.399182,2.512602,2.548046,2.565445,2.563834,2.566734,2.560612,2.562223,2.56319,2.554812,2.556745,2.550623,2.554168,2.546112,2.549334,2.541924,2.544823,2.539024,2.542246,2.535157,2.534835,2.529679,2.532901,2.533224,2.526457,2.530646,2.522913,2.524846,1.53629,0.64182,0.308972,0.186852,0.142709,0.122087,0.113065,0.106621,0.105332,0.103721,0.103721,0.101143,0.100821,0.101465,0.103721,0.100498,0.101465,0.10211,0.101787,0.101465,10
36,0.101787,0.100176,0.101787,0.098243,0.100498,0.101143,0.098887,0.099854,0.101143,0.100176,0.100176,0.100176,0.099532,0.101465,0.100821,0.101787,0.099532,0.100176,0.102754,0.101465,1.127721,2.045068,2.379205,2.488436,2.53419,2.553523,2.553201,2.55739,2.549657,2.551268,2.545468,2.546435,2.538379,2.541279,2.542246,2.535157,2.539024,2.530002,2.533546,2.525813,2.529035,2.523879,2.523235,2.525813,2.51808,2.521946,2.513891,2.517113,2.510991,2.511635,1.37486,0.571577,0.282228,0.182663,0.134976,0.119509,0.109521,0.105332,0.103721,0.101465,0.101787,0.100821,0.100498,0.101465,0.10211,0.099854,0.099854,0.099854,0.098887,0.100176,10
37,0.098565,0.100821,0.098243,0.100498,0.098565,0.097921,0.098565,0.099532,0.097921,0.09921,0.097921,0.099854,0.100176,0.100498,0.09921,0.100498,0.098243,0.097921,0.09921,0.098887,1.22213,2.077934,2.375338,2.489725,2.526779,2.536124,2.540635,2.542246,2.542568,2.537413,2.540957,2.530646,2.535479,2.528068,2.528713,2.523235,2.524524,2.51808,2.519691,2.521624,2.513891,2.517435,2.510669,2.513246,2.507124,2.508735,2.501969,2.501002,2.504224,2.497458,1.367127,0.567711,0.279328,0.172997,0.135942,0.120154,0.103398,0.106943,0.097921,0.099532,0.100498,0.099532,0.09921,0.098243,0.100176,0.097921,0.098887,0.097599,0.098565,0.096954,10
38,0.096954,0.098243,0.098243,0.096632,0.097599,0.096632,0.098243,0.098243,0.097599,0.096632,0.097276,0.097599,0.096954,0.097599,0.098243,0.097276,0.095665,0.097921,0.096954,0.097599,1.117088,2.025735,2.352139,2.473614,2.511313,2.530002,2.529357,2.533546,2.530324,2.529357,2.524202,2.524524,2.516469,2.518402,2.517757,2.514213,2.517113,2.50938,2.512602,2.505835,2.508091,2.501647,2.502935,2.496813,2.498424,2.498102,2.495202,2.496813,2.490047,2.492302,1.375504,0.569966,0.277717,0.173964,0.13272,0.114998,0.10501,0.101787,0.100498,0.099532,0.098243,0.099854,0.099854,0.097599,0.09631,0.098565,0.097599,0.096954,0.096954,0.095987,10
39,0.09631,0.093732,0.094699,0.095987,0.099854,0.09631,0.09631,0.095987,0.097599,0.096954,0.095987,0.095343,0.094376,0.097599,0.096954,0.095987,0.096632,0.09631,0.096632,0.096954,0.97338,1.966769,2.320562,2.455248,2.498747,2.517435,2.522591,2.519046,2.521946,2.514535,2.517435,2.506802,2.512924,2.510024,2.504869,2.505835,2.499391,2.501324,2.502613,2.495202,2.499713,2.490691,2.49488,2.487469,2.490369,2.484569,2.488114,2.480058,2.483925,2.477158,1.615232,0.664053,0.308005,0.183952,0.137553,0.115965,0.105654,0.101143,0.096954,0.097921,0.097921,0.091476,0.098565,0.09631,0.094054,0.096632,0.095987,0.097921,0.095987,0.095665,10
40,0.094699,0.092765,0.094376,0.094699,0.095343,0.094054,0.095343,0.09341,0.094054,0.095343,0.09341,0.095343,0.094054,0.094376,0.094699,0.093732,0.095343,0.095343,0.095343,0.096632,0.987557,1.964836,2.313795,2.445259,2.487791,2.506802,2.50648,2.510669,2.506158,2.507446,2.505191,2.501324,2.50358,2.497136,2.499391,2.493913,2.496813,2.489402,2.485858,2.485858,2.489402,2.482636,2.485214,2.477158,2.481347,2.474258,2.476514,2.469425,2.471358,2.472647,1.622321,0.664375,0.307361,0.18363,0.134653,0.114032,0.104365,0.099532,0.09631,0.095987,0.095343,0.094376,0.095343,0.094699,0.094054,0.094699,0.093732,0.094376,0.094054,0.093732,10
41,0.09341,0.094376,0.094054,0.093732,0.094376,0.094054,0.088899,0.099532,0.085677,0.096954,0.091799,0.09341,0.092121,0.094376,0.092121,0.093732,0.090832,0.092121,0.094376,0.093088,0.635376,1.804373,2.252896,2.412393,2.472325,2.49778,2.498424,2.503902,2.49778,2.499391,2.493269,2.495202,2.488436,2.491014,2.485214,2.485214,2.479414,2.478125,2.478125,2.474903,2.479736,2.471358,2.473936,2.467492,2.472325,2.46427,2.467814,2.46137,2.464914,2.457825,1.924881,0.791972,0.348604,0.196841,0.136909,0.11532,0.106621,0.099532,0.095343,0.096632,0.093732,0.094376,0.093088,0.092765,0.094054,0.093088,0.093088,0.086643,0.100821,0.086321,10
42,0.094376,0.09051,0.090832,0.091799,0.091154,0.092443,0.091154,0.093088,0.092443,0.091799,0.092121,0.095343,0.092765,0.092121,0.09341,0.090188,0.092443,0.093088,0.094054,0.091799,0.673397,1.814684,2.249352,2.408526,2.463303,2.488114,2.488114,2.492947,2.487147,2.487791,2.480703,2.482958,2.484247,2.475225,2.478769,2.472325,2.473292,2.471036,2.468136,2.470392,2.46137,2.464914,2.458792,2.460725,2.462336,2.455892,2.457503,2.451381,2.452992,2.447192,1.944214,0.797772,0.349249,0.19523,0.140131,0.114998,0.10211,0.09921,0.095021,0.094376,0.092121,0.094376,0.092121,0.091799,0.093088,0.091476,0.091799,0.092121,0.090832,0.092121,10
43,0.090832,0.089221,0.090188,0.091154,0.091154,0.089865,0.089543,0.089865,0.091154,0.092121,0.088899,0.09051,0.090832,0.09051,0.088899,0.090832,0.087288,0.091476,0.090188,0.09051,0.536778,1.743796,2.216486,2.390805,2.44977,2.47748,2.476514,2.482636,2.476836,2.477803,2.476192,2.472969,2.472969,2.467492,2.469103,2.462981,2.464592,2.461047,2.457825,2.461692,2.453314,2.457181,2.450092,2.455892,2.443648,2.447837,2.443003,2.445259,2.438815,2.44107,1.804051,0.733329,0.327338,0.189108,0.133364,0.109843,0.10211,0.097276,0.093088,0.092443,0.092443,0.092443,0.091799,0.091799,0.09051,0.089865,0.087288,0.088577,0.089543,0.091799,10
44,0.091154,0.088577,0.089865,0.088577,0.089865,0.088577,0.089221,0.089543,0.089543,0.090188,0.090188,0.090832,0.089543,0.089865,0.089543,0.090832,0.092121,0.09051,0.087932,0.088577,0.565777,1.748307,2.216164,2.37856,2.444292,2.462014,2.472003,2.467492,2.470392,2.469425,2.465881,2.467492,2.459759,2.462659,2.455248,2.458148,2.450092,2.452348,2.447514,2.448159,2.451381,2.444292,2.447192,2.439781,2.443326,2.435592,2.43817,2.435915,2.436559,2.432048,1.724463,0.693375,0.313161,0.18073,0.130787,0.109843,0.102754,0.095665,0.091799,0.093732,0.090832,0.090188,0.089865,0.089543,0.09051,0.087932,0.087932,0.089221,0.088899,0.089221,10
45,0.089865,0.087288,0.089221,0.088899,0.087932,0.089221,0.088577,0.087932,0.088899,0.088254,0.088899,0.086965,0.088899,0.088899,0.088254,0.08761,0.089543,0.087288,0.088577,0.086965,0.477168,1.694175,2.188453,2.36245,2.431081,2.452992,2.46137,2.461047,2.461692,2.463947,2.456214,2.460081,2.451059,2.454281,2.447514,2.44977,2.444292,2.44687,2.438492,2.443326,2.434948,2.439137,2.432048,2.435915,2.428826,2.432693,2.425604,2.427859,2.422704,2.424637,2.03669,0.831605,0.357304,0.193619,0.136587,0.110809,0.09921,0.09341,0.091799,0.090188,0.091154,0.088254,0.08761,0.088254,0.089543,0.088899,0.088254,0.086643,0.087932,0.087932,10
46,0.085354,0.087288,0.086643,0.08761,0.086643,0.087932,0.086321,0.086643,0.086643,0.086965,0.086643,0.087288,0.086321,0.089221,0.086643,0.086643,0.086321,0.086965,0.086965,0.085677,0.24614,1.548534,2.131421,2.337639,2.417226,2.446548,2.451059,2.456859,2.449448,2.453637,2.447837,2.448481,2.443003,2.442681,2.437848,2.438815,2.434626,2.434304,2.431726,2.431726,2.433981,2.425604,2.42947,2.423026,2.423993,2.419482,2.419804,2.414648,2.41626,2.411749,2.380171,0.982079,0.405636,0.215207,0.139487,0.115643,0.099532,0.095021,0.093088,0.089865,0.089543,0.089221,0.088577,0.087932,0.088254,0.087932,0.086643,0.087932,0.086965,0.086643,10
47,0.086643,0.085677,0.085677,0.087288,0.085999,0.085032,0.086643,0.085999,0.085677,0.086321,0.086643,0.086965,0.087932,0.085999,0.08761,0.085999,0.086321,0.08761,0.085999,0.085999,0.259028,1.547567,2.125621,2.329261,2.408526,2.431081,2.44397,2.447837,2.443003,2.445259,2.43817,2.440103,2.433015,2.434948,2.429148,2.430437,2.431726,2.424959,2.428182,2.420448,2.422382,2.41626,2.417548,2.419804,2.412715,2.414648,2.409493,2.408204,2.411426,2.404338,2.383716,0.978213,0.405314,0.211018,0.141098,0.112098,0.099532,0.09341,0.08761,0.088899,0.087288,0.086643,0.086643,0.086965,0.086643,0.085032,0.08471,0.085354,0.08471,0.085677,10
48,0.085032,0.086965,0.08471,0.084066,0.085032,0.08471,0.085354,0.084066,0.085354,0.083743,0.08471,0.08471,0.085999,0.083743,0.084066,0.085354,0.085032,0.08471,0.084388,0.085677,0.085677,1.37486,2.053123,2.298651,2.393704,2.420448,2.436559,2.434304,2.437204,2.430115,2.436881,2.433981,2.42657,2.429148,2.420771,2.422382,2.424315,2.415615,2.417871,2.411104,2.41336,2.414004,2.40756,2.408204,2.409815,2.402082,2.404015,2.404338,2.398216,2.399182,2.400793,1.005279,0.414014,0.212952,0.140453,0.110165,0.097599,0.092765,0.089221,0.085677,0.086321,0.082777,0.086321,0.08471,0.084066,0.085354,0.085032,0.085354,0.085032,0.084066,10
49,0.083421,0.083099,0.082777,0.084388,0.084388,0.083743,0.083743,0.082132,0.083421,0.08471,0.083421,0.084388,0.084388,0.083099,0.085354,0.083421,0.08471,0.084388,0.083421,0.084066,0.083743,1.232118,1.998024,2.271263,2.37566,2.41626,2.423993,2.431404,2.426248,2.428504,2.421093,2.421415,2.423671,2.41626,2.418837,2.411749,2.413037,2.413682,2.405949,2.409815,2.403049,2.403049,2.40466,2.398216,2.399182,2.400793,2.393382,2.395316,2.387905,2.389193,2.39016,1.124176,0.453324,0.225518,0.143675,0.114032,0.097599,0.091154,0.087932,0.085677,0.085677,0.085677,0.085677,0.084066,0.084066,0.084388,0.085677,0.084388,0.085032,0.084066,10
50,0.082454,0.083743,0.084066,0.083421,0.084388,0.083099,0.083099,0.08181,0.082777,0.08181,0.083421,0.083099,0.084388,0.082454,0.082777,0.083743,0.08471,0.083099,0.082454,0.082132,1.191519,1.977402,2.259341,2.366638,2.408204,2.414648,2.422059,2.416904,2.418515,2.419804,2.412393,2.414004,2.406915,2.408526,2.412393,2.40466,2.408204,2.39886,2.400793,2.393704,2.394993,2.397571,2.390805,2.392738,2.385649,2.38726,2.389516,2.382105,2.384038,2.377594,1.110643,0.447524,0.222618,0.141098,0.111132,0.096954,0.093088,0.086643,0.085354,0.085032,0.082454,0.084066,0.083421,0.082777,0.082454,0.082454,0.082777,0.08471,0.083421,0.083099,10
51,0.08181,0.081166,0.083421,0.081166,0.082132,0.080843,0.080843,0.079877,0.08471,0.08181,0.080199,0.082454,0.082777,0.080843,0.082777,0.082132,0.083099,0.08181,0.082777,0.082132,0.083099,1.219874,1.979013,2.259985,2.357294,2.396604,2.413037,2.411426,2.414648,2.409171,2.411426,2.404338,2.404982,2.406271,2.39886,2.400471,2.393382,2.394671,2.394027,2.394671,2.388549,2.387905,2.387582,2.384038,2.382749,2.384682,2.377916,2.380816,2.375338,2.377916,2.370505,1.069078,0.430447,0.216818,0.139809,0.110165,0.094699,0.089865,0.086321,0.085677,0.084066,0.083421,0.084388,0.083099,0.081488,0.082777,0.082454,0.083099,0.083099,0.076655,10
